name,country,color,sugar,volume,manufacturer,region,grape,year,price
Chablis Reserve de Vaudon,Франция,белое,сухое,0.75 л.,Joseph Drouhin,Бургундия,шардоне 100%,2022 г.,8 490

Sancerre Rouge Les Baronnes,Франция,красное,сухое,0.75 л.,Henri Bourgeois,Долина Луары,пино нуар 100%,2020 г.,5 990

Chablis Premier Cru Montmains,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,8 490

Chablis Premier Cru Beauregard,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,7 690

Barrua,Италия,красное,сухое,0.75 л.,Agricola Punica,Сардиния,кариньяно&каберне совиньон&мерло,2019 г.,8 990

Tenuta Regaleali Chardonnay Vigna San Francesco,Италия,белое,сухое,0.75 л.,Tasca d'Almerita,Сицилия,шардоне 100%,2021 г.,9 990

Gavi dei Gavi (Etichetta Nera) в подарочной упаковке,Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2022 г.,9 990

Pinot Noir,Италия,красное,сухое,0.75 л.,Cantina Terlan,Трентино-Альто Адидже,пино нуар 100%,2022 г.,5 490

Sul Vulcano Etna Bianco,Италия,белое,сухое,0.75 л.,Donnafugata,Сицилия,карриканте 100%,2021 г.,5 990

Lafoa Chardonnay,Италия,белое,сухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,шардоне 100%,2022 г.,7 990

Vieris Sauvignon,Италия,белое,сухое,0.75 л.,Vie di Romans,Фриули-Венеция-Джулия,совиньон блан 100%,2021 г.,8 990

Chateau Siaurac,Франция,красное,сухое,0.75 л.,Chаteau Siaurac,Бордо,мерло 80%&каберне фран 15%&мальбек 5%,2014 г.,6 690

Kabir,Италия,белое,сладкое,0.75 л.,Donnafugata,Сицилия,зибиббо 100%,2022 г.,6 790

Gruner Veltliner Eiswein,Австрия,белое,сладкое,0.375 л.,Nigl,Нижняя Австрия,грюнер вельтлинер 100%,2021 г.,7 490

Clos Henri Sauvignon Blanc,Новая Зеландия,белое,сухое,0.75 л.,Clos Henri,Мальборо,совиньон блан 100%,2022 г.,5 990

Sancerre Rose Les Baronnes,Франция,розовое,сухое,0.75 л.,Henri Bourgeois,Долина Луары,пино нуар 100%,2021 г.,6 290

Crozes-Hermitage Blanc,Франция,белое,сухое,0.75 л.,Guigal,Долина Роны,марсан 95%&руссан 5%,2020 г.,5 690

Tiara,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,каберне совиньон 82%&мерло 13%&пти вердо 2%&каберне фран 2%&карменер 1%,2018 г.,5 490

Amarone della Valpolicella Classico,Италия,красное,полусухое,0.75 л.,Domini Veneti,Венето,корвина веронезе&корвиноне&рондинелла,2020 г.,7 490

Solare,Италия,красное,сухое,0.75 л.,Capannelle,Тоскана,санджовезе&мальвазия нера,2015 г.,9 990

Bourgogne Hautes Cotes de Nuits Les Dames de Vergy,Франция,красное,сухое,0.75 л.,Domaine Antonin Guyon,Бургундия,пино нуар 100%,2022 г.,7 490

Barolo,Италия,красное,сухое,0.75 л.,Mauro Molino,Пьемонт,неббиоло 100%,2020 г.,8 990

Frans Malan,Южная Африка,красное,сухое,0.75 л.,Simonsig,Стелленбош,пинотаж 66%&каберне совиньон 28%&мерло 6%,2019 г.,5 490

Raccontami,Италия,красное,полусухое,0.75 л.,Vespa,Апулия,примитиво 100%,2020 г.,7 490

Nierstein Riesling,Германия,белое,сухое,0.75 л.,Gunderloch,Рейнгессен,рислинг 100%,2022 г.,5 790

Ripassa della Valpolicella Superiore,Италия,красное,полусухое,0.75 л.,Zenato,Венето,корвина веронезе&рондинелла&озелета,2019 г.,5 490

